run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
SRR21934171	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	ce56a4d7d1a4a60d78f20a551c923126;75482f29e7353b0575363b34e159ab91	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/071/SRR21934171/SRR21934171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/071/SRR21934171/SRR21934171_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/071/SRR21934171/SRR21934171_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/071/SRR21934171/SRR21934171_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/071/SRR21934171.lite	
SRR21934217	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	3997b3df2498e72df1d12061992c784d;ab936e87c1fbdff92c9cebd10f584cfa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/017/SRR21934217/SRR21934217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/017/SRR21934217/SRR21934217_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/017/SRR21934217/SRR21934217_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/017/SRR21934217/SRR21934217_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/017/SRR21934217.lite	
SRR21934172	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	0558246ffdb71c7d860a9599ffec3592;d1810120ae6a8681e082c85575006ff4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/072/SRR21934172/SRR21934172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/072/SRR21934172/SRR21934172_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/072/SRR21934172/SRR21934172_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/072/SRR21934172/SRR21934172_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/072/SRR21934172.lite	
SRR21934176	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	10d37b12e7c3a91264563cbe1cd7a6c2;a3cc26bb2c6f5bf44d7af22ea0be0624	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/076/SRR21934176/SRR21934176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/076/SRR21934176/SRR21934176_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/076/SRR21934176/SRR21934176_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/076/SRR21934176/SRR21934176_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/076/SRR21934176.lite	
SRR21934219	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	38e0be342a86768d563ed762130f8347;8775a0e8fc3319508d1190f1529b9b50	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/019/SRR21934219/SRR21934219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/019/SRR21934219/SRR21934219_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/019/SRR21934219/SRR21934219_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/019/SRR21934219/SRR21934219_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/019/SRR21934219.lite	
SRR21934173	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	6a43d3276b5f50ffe61636dd7a0f1253;ce45d620647115823ee6625f0862682d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/073/SRR21934173/SRR21934173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/073/SRR21934173/SRR21934173_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/073/SRR21934173/SRR21934173_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/073/SRR21934173/SRR21934173_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/073/SRR21934173.lite	
SRR21934174	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	0d69d768cf3209c50d20d26b4aed8b13;4cf12f6cfa321dda4c412d4ea6b8e850	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/074/SRR21934174/SRR21934174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/074/SRR21934174/SRR21934174_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/074/SRR21934174/SRR21934174_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/074/SRR21934174/SRR21934174_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/074/SRR21934174.lite	
SRR21934175	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	ba7fb06392fed2409d0746a3e349e192;4fdc4a0d87f91f8e035b1f5ebfe48b16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/075/SRR21934175/SRR21934175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/075/SRR21934175/SRR21934175_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/075/SRR21934175/SRR21934175_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/075/SRR21934175/SRR21934175_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/075/SRR21934175.lite	
SRR21934177	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	ccd54c00c3259ef54aaa197a2f4c3e3d;c30c26a99574da6450a12413ce7e373c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/077/SRR21934177/SRR21934177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/077/SRR21934177/SRR21934177_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/077/SRR21934177/SRR21934177_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/077/SRR21934177/SRR21934177_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/077/SRR21934177.lite	
SRR21934216	SAMN31319287	SRX17918113	PRJNA891295	10090	Mus musculus	8fa21b170b3e91054f56d13ddd5df4b5;0a20c2a47cf87fb75d4adc4e82643ec3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/016/SRR21934216/SRR21934216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR219/016/SRR21934216/SRR21934216_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/016/SRR21934216/SRR21934216_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR219/016/SRR21934216/SRR21934216_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR219/016/SRR21934216.lite	
